,order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
0,3940,US-2016-143448,10-12-2016,10-12-2016,Same Day,MH-17455,FUR-CH-10003379,1424.9,6.0,0.0,356.225
1,5397,US-2016-147340,24-09-2016,24-09-2016,Same Day,EB-13750,FUR-FU-10002501,63.2,5.0,0.0,23.384
2,9665,US-2015-120957,07-12-2015,07-12-2015,Same Day,KH-16690,OFF-PA-10003953,12.96,2.0,0.0,6.2208
3,1,Ca-New-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2.0,0.0,41.9136
4,2,Ca-New-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3.0,0.0,219.582
5,3,Ca-New-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2.0,0.0,6.8714
6,4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5.0,0.45,-383.031
7,5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2.0,0.2,2.5164
8,14,Ca-New-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3.0,0.2,132.5922
9,15,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5.0,0.8,-123.858
10,16,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3.0,0.8,-3.816
11,22,Ca-New-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7.0,0.0,5.0596
12,23,Ca-New-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7.0,0.0,15.6884
13,25,Ca-New-2015-106320,25-09-2015,30-09-2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3.0,0.0,240.2649
14,26,Ca-New-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,OFF-BI-10001634,11.648,2.0,0.2,4.2224
15,27,Ca-New-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3.0,0.0,11.7741
16,28,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7.0,0.5,-1665.0522
17,No Values,awd,,,,,,awd,,,awd
18,29,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2.0,0.7,-7.0532
19,30,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3.0,0.2,15.525
20,31,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2.0,0.2,1.1016
21,32,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6.0,0.2,9.7092
22,33,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6.0,0.7,-5.715
23,34,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2.0,0.2,3.546
24,36,Ca-New-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,TEC-PH-10004977,1097.544,7.0,0.2,123.4737
25,37,Ca-New-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,FUR-FU-10003664,190.92,5.0,0.6,-147.963
26,38,Ca-New-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9.0,0.2,35.415
27,39,Ca-New-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3.0,0.32,-46.9764
28,40,Ca-New-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3.0,0.3,-15.147
29,41,Ca-New-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4.0,0.2,41.7564
30,43,Ca-New-2016-101343,17-07-2016,22-07-2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2.0,0.0,3.894
31,45,Ca-New-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,TEC-AC-10000171,45.98,2.0,0.0,19.7714
32,46,Ca-New-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,OFF-BI-10003291,17.46,2.0,0.0,8.2062
33,48,Ca-New-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,TEC-AC-10002167,45,3.0,0.0,4.95
34,49,Ca-New-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,TEC-PH-10003988,21.8,2.0,0.0,6.104
35,50,Ca-New-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6.0,0.0,17.9634
36,51,Ca-New-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6.0,0.0,35.3346
37,52,Ca-New-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2.0,0.0,2.9568
38,53,Ca-New-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1.0,0.0,17.0981
39,54,Ca-New-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7.0,0.0,6.2566
40,55,Ca-New-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5.0,0.0,298.6855
41,56,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-ST-10000604,208.56,6.0,0.0,52.14
42,57,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-PA-10001569,32.4,5.0,0.0,15.552
43,58,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,FUR-CH-10003968,319.41,5.0,0.1,7.098
44,59,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-PA-10000587,14.56,2.0,0.0,6.9888
45,60,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,TEC-AC-10002167,30,2.0,0.0,3.3
46,61,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-BI-10001460,48.48,4.0,0.2,16.362
47,62,Ca-New-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-AR-10001868,1.68,1.0,0.0,0.84
48,63,Ca-New-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2.0,0.0,6.1512
49,64,Ca-New-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6.0,0.2,9.3612
50,65,Ca-New-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3.0,0.0,68.9631
51,66,Ca-New-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4.0,0.0,22.3328
